year,country,vaccine,coverage,oecd_region
2021,United Kingdom,"Diphtheria, Tetanus, Pertussis",92.6,Europe
2010,United States,"Diphtheria, Tetanus, Pertussis",95.0,North America
2011,United States,"Diphtheria, Tetanus, Pertussis",96.0,North America
2012,United States,"Diphtheria, Tetanus, Pertussis",94.0,North America
2013,United States,"Diphtheria, Tetanus, Pertussis",94.0,North America
2014,United States,"Diphtheria, Tetanus, Pertussis",95.0,North America
2015,United States,"Diphtheria, Tetanus, Pertussis",95.0,North America
2016,United States,"Diphtheria, Tetanus, Pertussis",95.0,North America
2017,United States,"Diphtheria, Tetanus, Pertussis",94.0,North America
2018,United States,"Diphtheria, Tetanus, Pertussis",94.0,North America
2019,United States,"Diphtheria, Tetanus, Pertussis",94.0,North America
2020,United States,"Diphtheria, Tetanus, Pertussis",93.0,North America
2010,Brazil,"Diphtheria, Tetanus, Pertussis",99.0,Latin America
2011,Brazil,"Diphtheria, Tetanus, Pertussis",100.0,Latin America
2012,Brazil,"Diphtheria, Tetanus, Pertussis",95.0,Latin America
2013,Brazil,"Diphtheria, Tetanus, Pertussis",97.0,Latin America
2014,Brazil,"Diphtheria, Tetanus, Pertussis",93.0,Latin America
2015,Brazil,"Diphtheria, Tetanus, Pertussis",96.0,Latin America
2016,Brazil,"Diphtheria, Tetanus, Pertussis",89.3,Latin America
2017,Brazil,"Diphtheria, Tetanus, Pertussis",88.7,Latin America
2018,Brazil,"Diphtheria, Tetanus, Pertussis",87.0,Latin America
2019,Brazil,"Diphtheria, Tetanus, Pertussis",70.0,Latin America
2020,Brazil,"Diphtheria, Tetanus, Pertussis",77.1,Latin America
2010,Chile,"Diphtheria, Tetanus, Pertussis",92.4,Latin America
2011,Chile,"Diphtheria, Tetanus, Pertussis",93.7,Latin America
2012,Chile,"Diphtheria, Tetanus, Pertussis",89.9,Latin America
2013,Chile,"Diphtheria, Tetanus, Pertussis",89.6,Latin America
2014,Chile,"Diphtheria, Tetanus, Pertussis",94.7,Latin America
2015,Chile,"Diphtheria, Tetanus, Pertussis",96.0,Latin America
2016,Chile,"Diphtheria, Tetanus, Pertussis",94.8,Latin America
2017,Chile,"Diphtheria, Tetanus, Pertussis",93.0,Latin America
2018,Chile,"Diphtheria, Tetanus, Pertussis",95.0,Latin America
2019,Chile,"Diphtheria, Tetanus, Pertussis",96.0,Latin America
2020,Chile,"Diphtheria, Tetanus, Pertussis",92.7,Latin America
2010,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.0,Asia-Pacific
2011,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.6,Asia-Pacific
2012,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.0,Asia-Pacific
2013,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.7,Asia-Pacific
2014,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.0,Asia-Pacific
2015,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.7,Asia-Pacific
2016,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.6,Asia-Pacific
2017,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.6,Asia-Pacific
2018,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.1,Asia-Pacific
2019,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.1,Asia-Pacific
2020,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.4,Asia-Pacific
2021,China (People's Republic of),"Diphtheria, Tetanus, Pertussis",99.4,Asia-Pacific
2010,Estonia,"Diphtheria, Tetanus, Pertussis",93.7,Europe
2011,Estonia,"Diphtheria, Tetanus, Pertussis",93.4,Europe
2012,Estonia,"Diphtheria, Tetanus, Pertussis",94.2,Europe
2013,Estonia,"Diphtheria, Tetanus, Pertussis",93.6,Europe
2014,Estonia,"Diphtheria, Tetanus, Pertussis",93.3,Europe
2015,Estonia,"Diphtheria, Tetanus, Pertussis",93.2,Europe
2016,Estonia,"Diphtheria, Tetanus, Pertussis",93.2,Europe
2017,Estonia,"Diphtheria, Tetanus, Pertussis",92.8,Europe
2018,Estonia,"Diphtheria, Tetanus, Pertussis",91.9,Europe
2019,Estonia,"Diphtheria, Tetanus, Pertussis",91.4,Europe
2020,Estonia,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2021,Estonia,"Diphtheria, Tetanus, Pertussis",89.5,Europe
2010,India,"Diphtheria, Tetanus, Pertussis",79.0,Asia-Pacific
2011,India,"Diphtheria, Tetanus, Pertussis",82.0,Asia-Pacific
2012,India,"Diphtheria, Tetanus, Pertussis",82.0,Asia-Pacific
2013,India,"Diphtheria, Tetanus, Pertussis",83.0,Asia-Pacific
2014,India,"Diphtheria, Tetanus, Pertussis",85.0,Asia-Pacific
2015,India,"Diphtheria, Tetanus, Pertussis",87.0,Asia-Pacific
2016,India,"Diphtheria, Tetanus, Pertussis",88.0,Asia-Pacific
2017,India,"Diphtheria, Tetanus, Pertussis",89.0,Asia-Pacific
2018,India,"Diphtheria, Tetanus, Pertussis",90.0,Asia-Pacific
2019,India,"Diphtheria, Tetanus, Pertussis",90.6,Asia-Pacific
2020,India,"Diphtheria, Tetanus, Pertussis",85.2,Asia-Pacific
2021,India,"Diphtheria, Tetanus, Pertussis",85.3,Asia-Pacific
2010,Indonesia,"Diphtheria, Tetanus, Pertussis",95.0,Asia-Pacific
2011,Indonesia,"Diphtheria, Tetanus, Pertussis",95.0,Asia-Pacific
2012,Indonesia,"Diphtheria, Tetanus, Pertussis",100.0,Asia-Pacific
2013,Indonesia,"Diphtheria, Tetanus, Pertussis",99.0,Asia-Pacific
2014,Indonesia,"Diphtheria, Tetanus, Pertussis",92.1,Asia-Pacific
2015,Indonesia,"Diphtheria, Tetanus, Pertussis",93.1,Asia-Pacific
2016,Indonesia,"Diphtheria, Tetanus, Pertussis",93.3,Asia-Pacific
2017,Indonesia,"Diphtheria, Tetanus, Pertussis",93.5,Asia-Pacific
2018,Indonesia,"Diphtheria, Tetanus, Pertussis",92.6,Asia-Pacific
2019,Indonesia,"Diphtheria, Tetanus, Pertussis",96.5,Asia-Pacific
2020,Indonesia,"Diphtheria, Tetanus, Pertussis",87.0,Asia-Pacific
2021,Indonesia,"Diphtheria, Tetanus, Pertussis",80.0,Asia-Pacific
2010,Israel,"Diphtheria, Tetanus, Pertussis",95.0,Middle East
2011,Israel,"Diphtheria, Tetanus, Pertussis",94.0,Middle East
2012,Israel,"Diphtheria, Tetanus, Pertussis",94.0,Middle East
2013,Israel,"Diphtheria, Tetanus, Pertussis",96.0,Middle East
2014,Israel,"Diphtheria, Tetanus, Pertussis",95.0,Middle East
2015,Israel,"Diphtheria, Tetanus, Pertussis",95.0,Middle East
2016,Israel,"Diphtheria, Tetanus, Pertussis",94.0,Middle East
2017,Israel,"Diphtheria, Tetanus, Pertussis",98.0,Middle East
2018,Israel,"Diphtheria, Tetanus, Pertussis",97.6,Middle East
2019,Israel,"Diphtheria, Tetanus, Pertussis",98.0,Middle East
2020,Israel,"Diphtheria, Tetanus, Pertussis",97.7,Middle East
2010,Russia,"Diphtheria, Tetanus, Pertussis",97.0,Europe/Asia
2011,Russia,"Diphtheria, Tetanus, Pertussis",97.2,Europe/Asia
2012,Russia,"Diphtheria, Tetanus, Pertussis",97.3,Europe/Asia
2013,Russia,"Diphtheria, Tetanus, Pertussis",97.3,Europe/Asia
2014,Russia,"Diphtheria, Tetanus, Pertussis",96.5,Europe/Asia
2015,Russia,"Diphtheria, Tetanus, Pertussis",97.0,Europe/Asia
2016,Russia,"Diphtheria, Tetanus, Pertussis",97.0,Europe/Asia
2017,Russia,"Diphtheria, Tetanus, Pertussis",97.0,Europe/Asia
2018,Russia,"Diphtheria, Tetanus, Pertussis",96.9,Europe/Asia
2019,Russia,"Diphtheria, Tetanus, Pertussis",96.9,Europe/Asia
2020,Russia,"Diphtheria, Tetanus, Pertussis",96.5,Europe/Asia
2021,Russia,"Diphtheria, Tetanus, Pertussis",96.7,Europe/Asia
2011,Slovenia,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2012,Slovenia,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2013,Slovenia,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2014,Slovenia,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2015,Slovenia,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2016,Slovenia,"Diphtheria, Tetanus, Pertussis",94.1,Europe
2017,Slovenia,"Diphtheria, Tetanus, Pertussis",94.0,Europe
2018,Slovenia,"Diphtheria, Tetanus, Pertussis",93.0,Europe
2010,South Africa,"Diphtheria, Tetanus, Pertussis",77.0,Africa
2011,South Africa,"Diphtheria, Tetanus, Pertussis",75.0,Africa
2012,South Africa,"Diphtheria, Tetanus, Pertussis",71.0,Africa
2013,South Africa,"Diphtheria, Tetanus, Pertussis",81.0,Africa
2014,South Africa,"Diphtheria, Tetanus, Pertussis",85.0,Africa
2015,South Africa,"Diphtheria, Tetanus, Pertussis",85.0,Africa
2016,South Africa,"Diphtheria, Tetanus, Pertussis",85.0,Africa
2017,South Africa,"Diphtheria, Tetanus, Pertussis",84.0,Africa
2018,South Africa,"Diphtheria, Tetanus, Pertussis",82.0,Africa
2019,South Africa,"Diphtheria, Tetanus, Pertussis",85.0,Africa
2020,South Africa,"Diphtheria, Tetanus, Pertussis",83.8,Africa
2021,South Africa,"Diphtheria, Tetanus, Pertussis",85.6,Africa
2010,Denmark,"Diphtheria, Tetanus, Pertussis",90.0,Europe
2011,Denmark,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2012,Denmark,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2013,Denmark,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2014,Denmark,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2015,Denmark,"Diphtheria, Tetanus, Pertussis",90.0,Europe
2016,Denmark,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2017,Denmark,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2018,Denmark,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2019,Denmark,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2020,Denmark,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2021,Denmark,"Diphtheria, Tetanus, Pertussis",95.8,Europe
2010,Finland,"Diphtheria, Tetanus, Pertussis",99.0,Europe
2011,Finland,"Diphtheria, Tetanus, Pertussis",99.0,Europe
2012,Finland,"Diphtheria, Tetanus, Pertussis",99.0,Europe
2013,Finland,"Diphtheria, Tetanus, Pertussis",98.0,Europe
2014,Finland,"Diphtheria, Tetanus, Pertussis",98.0,Europe
2015,Finland,"Diphtheria, Tetanus, Pertussis",97.0,Europe
2016,Finland,"Diphtheria, Tetanus, Pertussis",92.0,Europe
2017,Finland,"Diphtheria, Tetanus, Pertussis",89.0,Europe
2018,Finland,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2019,Finland,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2020,Finland,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2020,France,"Diphtheria, Tetanus, Pertussis",,Europe
2021,Greece,"Diphtheria, Tetanus, Pertussis",,Europe
2010,Hungary,"Diphtheria, Tetanus, Pertussis",99.9,Europe
2011,Hungary,"Diphtheria, Tetanus, Pertussis",99.8,Europe
2012,Hungary,"Diphtheria, Tetanus, Pertussis",99.9,Europe
2013,Hungary,"Diphtheria, Tetanus, Pertussis",99.8,Europe
2014,Hungary,"Diphtheria, Tetanus, Pertussis",99.9,Europe
2015,Hungary,"Diphtheria, Tetanus, Pertussis",99.8,Europe
2016,Hungary,"Diphtheria, Tetanus, Pertussis",99.8,Europe
2017,Hungary,"Diphtheria, Tetanus, Pertussis",99.9,Europe
2018,Hungary,"Diphtheria, Tetanus, Pertussis",99.9,Europe
2019,Hungary,"Diphtheria, Tetanus, Pertussis",99.9,Europe
2020,Hungary,"Diphtheria, Tetanus, Pertussis",99.9,Europe
2021,Hungary,"Diphtheria, Tetanus, Pertussis",99.9,Europe
2015,Iceland,"Diphtheria, Tetanus, Pertussis",92.0,Europe
2016,Iceland,"Diphtheria, Tetanus, Pertussis",87.0,Europe
2017,Iceland,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2018,Iceland,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2019,Iceland,"Diphtheria, Tetanus, Pertussis",92.6,Europe
2020,Iceland,"Diphtheria, Tetanus, Pertussis",93.4,Europe
2021,Italy,"Diphtheria, Tetanus, Pertussis",,Europe
2010,Japan,"Diphtheria, Tetanus, Pertussis",100.0,Asia-Pacific
2011,Japan,"Diphtheria, Tetanus, Pertussis",100.0,Asia-Pacific
2012,Japan,"Diphtheria, Tetanus, Pertussis",100.0,Asia-Pacific
2013,Japan,"Diphtheria, Tetanus, Pertussis",100.0,Asia-Pacific
2014,Japan,"Diphtheria, Tetanus, Pertussis",100.0,Asia-Pacific
2015,Japan,"Diphtheria, Tetanus, Pertussis",96.2,Asia-Pacific
2016,Japan,"Diphtheria, Tetanus, Pertussis",99.1,Asia-Pacific
2017,Japan,"Diphtheria, Tetanus, Pertussis",100.0,Asia-Pacific
2018,Japan,"Diphtheria, Tetanus, Pertussis",100.0,Asia-Pacific
2020,Korea,"Diphtheria, Tetanus, Pertussis",,Asia-Pacific
2010,Norway,"Diphtheria, Tetanus, Pertussis",93.0,Europe
2011,Norway,"Diphtheria, Tetanus, Pertussis",94.0,Europe
2012,Norway,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2013,Norway,"Diphtheria, Tetanus, Pertussis",94.0,Europe
2014,Norway,"Diphtheria, Tetanus, Pertussis",93.0,Europe
2015,Norway,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2016,Norway,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2017,Norway,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2018,Norway,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2010,Sweden,"Diphtheria, Tetanus, Pertussis",98.0,Europe
2010,Switzerland,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2010,United Kingdom,"Diphtheria, Tetanus, Pertussis",94.0,Europe
2011,United Kingdom,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2012,United Kingdom,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2013,United Kingdom,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2014,United Kingdom,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2015,United Kingdom,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2016,United Kingdom,"Diphtheria, Tetanus, Pertussis",94.0,Europe
2017,United Kingdom,"Diphtheria, Tetanus, Pertussis",94.0,Europe
2018,United Kingdom,"Diphtheria, Tetanus, Pertussis",94.0,Europe
2021,Chile,"Diphtheria, Tetanus, Pertussis",,Latin America
2021,Israel,"Diphtheria, Tetanus, Pertussis",,Middle East
2010,Slovenia,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2019,Slovenia,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2020,Slovenia,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2021,France,"Diphtheria, Tetanus, Pertussis",96.4,Europe
2010,Iceland,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2011,Iceland,"Diphtheria, Tetanus, Pertussis",95.4,Europe
2012,Iceland,"Diphtheria, Tetanus, Pertussis",89.0,Europe
2013,Iceland,"Diphtheria, Tetanus, Pertussis",91.2,Europe
2014,Iceland,"Diphtheria, Tetanus, Pertussis",90.0,Europe
2021,Iceland,"Diphtheria, Tetanus, Pertussis",92.0,Europe
2011,Switzerland,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2012,Switzerland,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2013,Switzerland,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2014,Switzerland,"Diphtheria, Tetanus, Pertussis",95.0,Europe
2015,Switzerland,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2016,Switzerland,"Diphtheria, Tetanus, Pertussis",95.9,Europe
2021,Sweden,"Diphtheria, Tetanus, Pertussis",,Europe
2021,Brazil,"Diphtheria, Tetanus, Pertussis",,Latin America
2021,United States,"Diphtheria, Tetanus, Pertussis",,North America
2021,Slovenia,"Diphtheria, Tetanus, Pertussis",,Europe
2021,Portugal,"Diphtheria, Tetanus, Pertussis",,Europe
2021,Canada,"Diphtheria, Tetanus, Pertussis",,North America
2020,Latvia,"Diphtheria, Tetanus, Pertussis",100.0,Europe
2010,Lithuania,"Diphtheria, Tetanus, Pertussis",94.8,Europe
2011,Lithuania,"Diphtheria, Tetanus, Pertussis",92.4,Europe
2012,Lithuania,"Diphtheria, Tetanus, Pertussis",92.8,Europe
2013,Lithuania,"Diphtheria, Tetanus, Pertussis",93.2,Europe
2014,Lithuania,"Diphtheria, Tetanus, Pertussis",92.9,Europe
2015,Lithuania,"Diphtheria, Tetanus, Pertussis",93.5,Europe
2016,Lithuania,"Diphtheria, Tetanus, Pertussis",94.1,Europe
2017,Lithuania,"Diphtheria, Tetanus, Pertussis",93.7,Europe
2018,Lithuania,"Diphtheria, Tetanus, Pertussis",92.3,Europe
2019,Lithuania,"Diphtheria, Tetanus, Pertussis",92.1,Europe
2020,Lithuania,"Diphtheria, Tetanus, Pertussis",91.4,Europe
2021,Lithuania,"Diphtheria, Tetanus, Pertussis",90.1,Europe
2010,Costa Rica,"Diphtheria, Tetanus, Pertussis",91.0,Latin America
2011,Costa Rica,"Diphtheria, Tetanus, Pertussis",85.0,Latin America
2012,Costa Rica,"Diphtheria, Tetanus, Pertussis",91.0,Latin America
2013,Costa Rica,"Diphtheria, Tetanus, Pertussis",94.7,Latin America
2014,Costa Rica,"Diphtheria, Tetanus, Pertussis",90.7,Latin America
2015,Costa Rica,"Diphtheria, Tetanus, Pertussis",92.0,Latin America
2016,Costa Rica,"Diphtheria, Tetanus, Pertussis",97.3,Latin America
2017,Costa Rica,"Diphtheria, Tetanus, Pertussis",96.0,Latin America
2018,Costa Rica,"Diphtheria, Tetanus, Pertussis",94.0,Latin America
2019,Costa Rica,"Diphtheria, Tetanus, Pertussis",95.0,Latin America
2020,Costa Rica,"Diphtheria, Tetanus, Pertussis",96.7,Latin America
2010,Latvia,"Diphtheria, Tetanus, Pertussis",92.0,Europe
2011,Latvia,"Diphtheria, Tetanus, Pertussis",92.0,Europe
2012,Latvia,"Diphtheria, Tetanus, Pertussis",91.0,Europe
2013,Latvia,"Diphtheria, Tetanus, Pertussis",94.0,Europe
2014,Latvia,"Diphtheria, Tetanus, Pertussis",92.0,Europe
2015,Latvia,"Diphtheria, Tetanus, Pertussis",94.9,Europe
2016,Latvia,"Diphtheria, Tetanus, Pertussis",98.1,Europe
2017,Latvia,"Diphtheria, Tetanus, Pertussis",98.1,Europe
2018,Latvia,"Diphtheria, Tetanus, Pertussis",96.0,Europe
2019,Latvia,"Diphtheria, Tetanus, Pertussis",100.0,Europe
2010,Colombia,"Diphtheria, Tetanus, Pertussis",88.0,Latin America
2011,Colombia,"Diphtheria, Tetanus, Pertussis",85.3,Latin America
2012,Colombia,"Diphtheria, Tetanus, Pertussis",91.8,Latin America
2013,Colombia,"Diphtheria, Tetanus, Pertussis",90.8,Latin America
2014,Colombia,"Diphtheria, Tetanus, Pertussis",90.3,Latin America
2015,Colombia,"Diphtheria, Tetanus, Pertussis",91.4,Latin America
2016,Colombia,"Diphtheria, Tetanus, Pertussis",91.3,Latin America
2017,Colombia,"Diphtheria, Tetanus, Pertussis",91.6,Latin America
2021,Latvia,"Diphtheria, Tetanus, Pertussis",94.4,Europe
2018,Colombia,"Diphtheria, Tetanus, Pertussis",92.0,Latin America
2019,Colombia,"Diphtheria, Tetanus, Pertussis",94.0,Latin America
2020,Colombia,"Diphtheria, Tetanus, Pertussis",87.9,Latin America
2021,Colombia,"Diphtheria, Tetanus, Pertussis",86.5,Latin America
2021,Costa Rica,"Diphtheria, Tetanus, Pertussis",92.2,Latin America
2010,Australia,Measles,93.9,Asia-Pacific
2011,Australia,Measles,94.0,Asia-Pacific
2012,Australia,Measles,94.4,Asia-Pacific
2013,Australia,Measles,93.7,Asia-Pacific
2014,Australia,Measles,94.4,Asia-Pacific
2015,Australia,Measles,94.7,Asia-Pacific
2016,Australia,Measles,95.0,Asia-Pacific
2017,Australia,Measles,95.0,Asia-Pacific
2018,Australia,Measles,95.0,Asia-Pacific
2019,Australia,Measles,95.0,Asia-Pacific
2020,Australia,Measles,95.0,Asia-Pacific
2021,Australia,Measles,92.7,Asia-Pacific
2010,Austria,Measles,80.0,Europe
2011,Austria,Measles,84.0,Europe
2012,Austria,Measles,88.0,Europe
2013,Austria,Measles,92.0,Europe
2014,Austria,Measles,96.0,Europe
2015,Austria,Measles,96.0,Europe
2016,Austria,Measles,95.0,Europe
2017,Austria,Measles,96.0,Europe
2018,Austria,Measles,94.0,Europe
2019,Austria,Measles,94.0,Europe
2020,Austria,Measles,94.0,Europe
2010,Belgium,Measles,95.0,Europe
2011,Belgium,Measles,95.0,Europe
2012,Belgium,Measles,96.0,Europe
2013,Belgium,Measles,96.0,Europe
2014,Belgium,Measles,96.0,Europe
