year,country,vaccine,coverage,oecd_region
2015,Belgium,Measles,96.0,Europe
2016,Belgium,Measles,96.0,Europe
2017,Belgium,Measles,96.0,Europe
2018,Belgium,Measles,96.0,Europe
2019,Belgium,Measles,96.0,Europe
2020,Belgium,Measles,96.0,Europe
2010,Canada,Measles,90.0,North America
2011,Canada,Measles,88.0,North America
2012,Canada,Measles,89.0,North America
2013,Canada,Measles,90.0,North America
2014,Canada,Measles,90.0,North America
2015,Canada,Measles,89.0,North America
2016,Canada,Measles,89.0,North America
2017,Canada,Measles,90.0,North America
2018,Canada,Measles,90.0,North America
2019,Canada,Measles,90.0,North America
2020,Canada,Measles,90.0,North America
2010,Czech Republic,Measles,98.0,Europe
2011,Czech Republic,Measles,98.0,Europe
2012,Czech Republic,Measles,98.0,Europe
2013,Czech Republic,Measles,99.0,Europe
2014,Czech Republic,Measles,99.4,Europe
2015,Czech Republic,Measles,99.0,Europe
2016,Czech Republic,Measles,97.5,Europe
2017,Czech Republic,Measles,97.0,Europe
2018,Czech Republic,Measles,96.4,Europe
2019,Czech Republic,Measles,92.4,Europe
2020,Czech Republic,Measles,94.4,Europe
2021,Czech Republic,Measles,96.6,Europe
2010,France,Measles,89.0,Europe
2011,France,Measles,89.0,Europe
2012,France,Measles,91.0,Europe
2013,France,Measles,90.0,Europe
2014,France,Measles,91.0,Europe
2015,France,Measles,91.0,Europe
2016,France,Measles,90.5,Europe
2017,France,Measles,90.3,Europe
2018,France,Measles,89.6,Europe
2019,France,Measles,90.0,Europe
2010,Germany,Measles,96.1,Europe
2011,Germany,Measles,96.4,Europe
2012,Germany,Measles,96.6,Europe
2013,Germany,Measles,96.7,Europe
2014,Germany,Measles,96.7,Europe
2015,Germany,Measles,96.8,Europe
2016,Germany,Measles,96.8,Europe
2017,Germany,Measles,97.1,Europe
2018,Germany,Measles,97.1,Europe
2019,Germany,Measles,97.2,Europe
2020,Germany,Measles,97.2,Europe
2010,Greece,Measles,99.0,Europe
2011,Greece,Measles,99.0,Europe
2012,Greece,Measles,99.0,Europe
2013,Greece,Measles,99.0,Europe
2014,Greece,Measles,97.0,Europe
2015,Greece,Measles,97.0,Europe
2016,Greece,Measles,97.0,Europe
2017,Greece,Measles,97.0,Europe
2018,Greece,Measles,97.0,Europe
2019,Greece,Measles,97.0,Europe
2020,Greece,Measles,97.0,Europe
2010,Ireland,Measles,90.0,Europe
2011,Ireland,Measles,92.0,Europe
2012,Ireland,Measles,92.4,Europe
2013,Ireland,Measles,93.0,Europe
2014,Ireland,Measles,93.0,Europe
2015,Ireland,Measles,92.9,Europe
2016,Ireland,Measles,92.0,Europe
2017,Ireland,Measles,92.0,Europe
2018,Ireland,Measles,92.3,Europe
2019,Ireland,Measles,91.0,Europe
2020,Ireland,Measles,91.8,Europe
2021,Ireland,Measles,90.4,Europe
2010,Italy,Measles,91.0,Europe
2011,Italy,Measles,90.1,Europe
2012,Italy,Measles,90.3,Europe
2013,Italy,Measles,90.0,Europe
2014,Italy,Measles,87.0,Europe
2015,Italy,Measles,85.2,Europe
2016,Italy,Measles,87.0,Europe
2017,Italy,Measles,91.6,Europe
2018,Italy,Measles,93.2,Europe
2019,Italy,Measles,94.5,Europe
2020,Italy,Measles,91.9,Europe
2019,Japan,Measles,96.0,Asia-Pacific
2020,Japan,Measles,98.5,Asia-Pacific
2010,Korea,Measles,95.3,Asia-Pacific
2011,Korea,Measles,88.0,Asia-Pacific
2012,Korea,Measles,94.8,Asia-Pacific
2013,Korea,Measles,96.7,Asia-Pacific
2014,Korea,Measles,96.5,Asia-Pacific
2015,Korea,Measles,98.1,Asia-Pacific
2016,Korea,Measles,98.2,Asia-Pacific
2017,Korea,Measles,97.4,Asia-Pacific
2018,Korea,Measles,97.6,Asia-Pacific
2019,Korea,Measles,97.4,Asia-Pacific
2010,Luxembourg,Measles,96.0,Europe
2011,Luxembourg,Measles,96.0,Europe
2012,Luxembourg,Measles,99.0,Europe
2013,Luxembourg,Measles,99.0,Europe
2014,Luxembourg,Measles,99.0,Europe
2015,Luxembourg,Measles,99.0,Europe
2016,Luxembourg,Measles,99.0,Europe
2017,Luxembourg,Measles,99.0,Europe
2018,Luxembourg,Measles,99.0,Europe
2019,Luxembourg,Measles,99.0,Europe
2020,Luxembourg,Measles,99.0,Europe
2010,Mexico,Measles,95.2,Latin America
2011,Mexico,Measles,98.4,Latin America
2012,Mexico,Measles,98.8,Latin America
2013,Mexico,Measles,88.7,Latin America
2014,Mexico,Measles,97.8,Latin America
2015,Mexico,Measles,97.0,Latin America
2016,Mexico,Measles,97.0,Latin America
2017,Mexico,Measles,76.0,Latin America
2018,Mexico,Measles,97.0,Latin America
2019,Mexico,Measles,73.0,Latin America
2020,Mexico,Measles,73.0,Latin America
2021,Mexico,Measles,89.0,Latin America
2010,Netherlands,Measles,95.9,Europe
2011,Netherlands,Measles,95.9,Europe
2012,Netherlands,Measles,96.1,Europe
2013,Netherlands,Measles,96.0,Europe
2014,Netherlands,Measles,95.5,Europe
2015,Netherlands,Measles,94.8,Europe
2016,Netherlands,Measles,93.8,Europe
2017,Netherlands,Measles,92.9,Europe
2018,Netherlands,Measles,92.9,Europe
2019,Netherlands,Measles,93.6,Europe
2020,Netherlands,Measles,93.6,Europe
2021,Netherlands,Measles,92.8,Europe
2010,New Zealand,Measles,91.3,Asia-Pacific
2011,New Zealand,Measles,93.3,Asia-Pacific
2012,New Zealand,Measles,92.4,Asia-Pacific
2013,New Zealand,Measles,92.4,Asia-Pacific
2014,New Zealand,Measles,92.6,Asia-Pacific
2015,New Zealand,Measles,92.6,Asia-Pacific
2016,New Zealand,Measles,92.1,Asia-Pacific
2017,New Zealand,Measles,93.3,Asia-Pacific
2018,New Zealand,Measles,91.9,Asia-Pacific
2019,New Zealand,Measles,91.8,Asia-Pacific
2020,New Zealand,Measles,91.5,Asia-Pacific
2021,New Zealand,Measles,91.1,Asia-Pacific
2019,Norway,Measles,97.0,Europe
2020,Norway,Measles,96.7,Europe
2021,Norway,Measles,96.6,Europe
2010,Poland,Measles,98.2,Europe
2011,Poland,Measles,98.0,Europe
2012,Poland,Measles,97.9,Europe
2013,Poland,Measles,97.5,Europe
2014,Poland,Measles,97.0,Europe
2015,Poland,Measles,96.0,Europe
2016,Poland,Measles,95.5,Europe
2017,Poland,Measles,94.0,Europe
2018,Poland,Measles,92.9,Europe
2019,Poland,Measles,93.0,Europe
2020,Poland,Measles,80.3,Europe
2010,Portugal,Measles,96.0,Europe
2011,Portugal,Measles,97.0,Europe
2012,Portugal,Measles,97.0,Europe
2013,Portugal,Measles,98.0,Europe
2014,Portugal,Measles,98.0,Europe
2015,Portugal,Measles,98.0,Europe
2016,Portugal,Measles,98.0,Europe
2017,Portugal,Measles,98.0,Europe
2018,Portugal,Measles,99.0,Europe
2019,Portugal,Measles,99.0,Europe
2020,Portugal,Measles,99.0,Europe
2010,Slovak Republic,Measles,98.5,Europe
2011,Slovak Republic,Measles,98.3,Europe
2012,Slovak Republic,Measles,99.0,Europe
2013,Slovak Republic,Measles,98.2,Europe
2014,Slovak Republic,Measles,96.6,Europe
2015,Slovak Republic,Measles,95.2,Europe
2016,Slovak Republic,Measles,95.2,Europe
2017,Slovak Republic,Measles,95.8,Europe
2018,Slovak Republic,Measles,96.1,Europe
2019,Slovak Republic,Measles,96.2,Europe
2020,Slovak Republic,Measles,96.0,Europe
2021,Slovak Republic,Measles,95.4,Europe
2010,Spain,Measles,95.2,Europe
2011,Spain,Measles,96.8,Europe
2012,Spain,Measles,97.4,Europe
2013,Spain,Measles,95.3,Europe
2014,Spain,Measles,96.1,Europe
2015,Spain,Measles,96.1,Europe
2016,Spain,Measles,96.5,Europe
2017,Spain,Measles,97.7,Europe
2018,Spain,Measles,97.1,Europe
2019,Spain,Measles,97.9,Europe
2020,Spain,Measles,97.5,Europe
2021,Spain,Measles,94.4,Europe
2011,Sweden,Measles,97.0,Europe
2012,Sweden,Measles,98.0,Europe
2013,Sweden,Measles,97.0,Europe
2014,Sweden,Measles,97.0,Europe
2015,Sweden,Measles,98.0,Europe
2016,Sweden,Measles,97.0,Europe
2017,Sweden,Measles,97.0,Europe
2018,Sweden,Measles,97.0,Europe
2019,Sweden,Measles,97.0,Europe
2020,Sweden,Measles,97.0,Europe
2017,Switzerland,Measles,95.1,Europe
2018,Switzerland,Measles,95.5,Europe
2019,Switzerland,Measles,95.3,Europe
2020,Switzerland,Measles,97.1,Europe
2010,Türkiye,Measles,97.0,Europe/Asia
2011,Türkiye,Measles,98.0,Europe/Asia
2012,Türkiye,Measles,96.0,Europe/Asia
2013,Türkiye,Measles,98.0,Europe/Asia
2014,Türkiye,Measles,94.0,Europe/Asia
2015,Türkiye,Measles,97.0,Europe/Asia
2016,Türkiye,Measles,98.0,Europe/Asia
2017,Türkiye,Measles,96.0,Europe/Asia
2018,Türkiye,Measles,96.0,Europe/Asia
2019,Türkiye,Measles,97.0,Europe/Asia
2020,Türkiye,Measles,95.0,Europe/Asia
2021,Türkiye,Measles,96.1,Europe/Asia
2019,United Kingdom,Measles,91.0,Europe
2020,United Kingdom,Measles,91.1,Europe
2021,United Kingdom,Measles,90.9,Europe
2010,United States,Measles,92.0,North America
2011,United States,Measles,92.0,North America
2012,United States,Measles,91.0,North America
2013,United States,Measles,92.0,North America
2014,United States,Measles,92.0,North America
2015,United States,Measles,92.0,North America
2016,United States,Measles,92.0,North America
2017,United States,Measles,92.0,North America
2018,United States,Measles,92.0,North America
2019,United States,Measles,90.0,North America
2020,United States,Measles,91.0,North America
2010,Brazil,Measles,100.0,Latin America
2011,Brazil,Measles,99.0,Latin America
2012,Brazil,Measles,99.0,Latin America
2013,Brazil,Measles,98.0,Latin America
2014,Brazil,Measles,97.0,Latin America
2015,Brazil,Measles,96.1,Latin America
2016,Brazil,Measles,95.4,Latin America
2017,Brazil,Measles,97.1,Latin America
2018,Brazil,Measles,92.0,Latin America
2019,Brazil,Measles,91.0,Latin America
2020,Brazil,Measles,79.5,Latin America
2010,Chile,Measles,92.8,Latin America
2011,Chile,Measles,90.8,Latin America
2012,Chile,Measles,89.9,Latin America
2013,Chile,Measles,89.6,Latin America
2014,Chile,Measles,96.7,Latin America
2015,Chile,Measles,96.4,Latin America
2016,Chile,Measles,92.8,Latin America
2017,Chile,Measles,93.0,Latin America
2018,Chile,Measles,93.0,Latin America
2019,Chile,Measles,95.0,Latin America
2020,Chile,Measles,90.9,Latin America
2010,China (People's Republic of),Measles,99.4,Asia-Pacific
2011,China (People's Republic of),Measles,99.6,Asia-Pacific
2012,China (People's Republic of),Measles,99.0,Asia-Pacific
2013,China (People's Republic of),Measles,99.6,Asia-Pacific
2014,China (People's Republic of),Measles,99.0,Asia-Pacific
2015,China (People's Republic of),Measles,99.5,Asia-Pacific
2016,China (People's Republic of),Measles,99.5,Asia-Pacific
2017,China (People's Republic of),Measles,99.6,Asia-Pacific
2018,China (People's Republic of),Measles,98.6,Asia-Pacific
2019,China (People's Republic of),Measles,98.8,Asia-Pacific
2020,China (People's Republic of),Measles,99.2,Asia-Pacific
2021,China (People's Republic of),Measles,99.4,Asia-Pacific
2010,Estonia,Measles,95.1,Europe
2011,Estonia,Measles,93.9,Europe
2012,Estonia,Measles,93.6,Europe
2013,Estonia,Measles,93.7,Europe
2014,Estonia,Measles,93.4,Europe
2015,Estonia,Measles,93.4,Europe
2016,Estonia,Measles,93.2,Europe
2017,Estonia,Measles,93.3,Europe
2018,Estonia,Measles,86.9,Europe
2019,Estonia,Measles,87.8,Europe
2020,Estonia,Measles,90.8,Europe
2021,Estonia,Measles,89.4,Europe
2010,India,Measles,88.0,Asia-Pacific
2011,India,Measles,89.0,Asia-Pacific
2012,India,Measles,89.0,Asia-Pacific
2013,India,Measles,89.0,Asia-Pacific
2014,India,Measles,85.0,Asia-Pacific
2015,India,Measles,87.0,Asia-Pacific
2016,India,Measles,88.4,Asia-Pacific
2017,India,Measles,89.6,Asia-Pacific
2018,India,Measles,99.7,Asia-Pacific
2019,India,Measles,95.3,Asia-Pacific
2020,India,Measles,88.6,Asia-Pacific
2021,India,Measles,88.9,Asia-Pacific
2010,Indonesia,Measles,94.0,Asia-Pacific
2011,Indonesia,Measles,94.0,Asia-Pacific
2012,Indonesia,Measles,99.0,Asia-Pacific
2013,Indonesia,Measles,98.0,Asia-Pacific
2014,Indonesia,Measles,91.8,Asia-Pacific
2015,Indonesia,Measles,92.3,Asia-Pacific
2016,Indonesia,Measles,93.0,Asia-Pacific
2017,Indonesia,Measles,92.0,Asia-Pacific
2018,Indonesia,Measles,92.0,Asia-Pacific
2019,Indonesia,Measles,95.1,Asia-Pacific
2020,Indonesia,Measles,86.2,Asia-Pacific
2021,Indonesia,Measles,87.3,Asia-Pacific
2010,Israel,Measles,96.0,Middle East
2011,Israel,Measles,97.0,Middle East
2012,Israel,Measles,96.0,Middle East
2013,Israel,Measles,98.0,Middle East
2014,Israel,Measles,97.0,Middle East
2015,Israel,Measles,98.0,Middle East
2016,Israel,Measles,97.0,Middle East
2017,Israel,Measles,98.0,Middle East
2018,Israel,Measles,98.4,Middle East
2019,Israel,Measles,99.0,Middle East
2020,Israel,Measles,98.8,Middle East
2010,Russia,Measles,98.0,Europe/Asia
2011,Russia,Measles,98.2,Europe/Asia
2012,Russia,Measles,98.1,Europe/Asia
2013,Russia,Measles,98.1,Europe/Asia
2014,Russia,Measles,97.8,Europe/Asia
2015,Russia,Measles,97.9,Europe/Asia
2016,Russia,Measles,97.7,Europe/Asia
2017,Russia,Measles,97.7,Europe/Asia
2018,Russia,Measles,97.6,Europe/Asia
2019,Russia,Measles,97.7,Europe/Asia
2020,Russia,Measles,97.3,Europe/Asia
2021,Russia,Measles,97.3,Europe/Asia
2011,Slovenia,Measles,96.0,Europe
2012,Slovenia,Measles,95.0,Europe
2013,Slovenia,Measles,94.0,Europe
2014,Slovenia,Measles,94.0,Europe
2015,Slovenia,Measles,94.0,Europe
2016,Slovenia,Measles,92.3,Europe
2017,Slovenia,Measles,93.0,Europe
2018,Slovenia,Measles,93.0,Europe
2010,South Africa,Measles,84.8,Africa
2011,South Africa,Measles,88.5,Africa
2012,South Africa,Measles,89.1,Africa
2013,South Africa,Measles,87.3,Africa
2014,South Africa,Measles,91.7,Africa
2015,South Africa,Measles,97.4,Africa
2016,South Africa,Measles,84.0,Africa
2017,South Africa,Measles,81.1,Africa
2018,South Africa,Measles,81.7,Africa
2019,South Africa,Measles,83.3,Africa
2020,South Africa,Measles,84.0,Africa
2021,South Africa,Measles,87.4,Africa
2010,Denmark,Measles,85.0,Europe
2011,Denmark,Measles,87.0,Europe
2012,Denmark,Measles,87.0,Europe
2013,Denmark,Measles,86.0,Europe
2014,Denmark,Measles,87.0,Europe
2015,Denmark,Measles,88.0,Europe
2016,Denmark,Measles,91.0,Europe
2017,Denmark,Measles,94.0,Europe
2018,Denmark,Measles,94.0,Europe
2019,Denmark,Measles,95.0,Europe
2020,Denmark,Measles,93.6,Europe
2021,Denmark,Measles,94.1,Europe
2010,Finland,Measles,98.0,Europe
2011,Finland,Measles,97.0,Europe
2012,Finland,Measles,97.0,Europe
2013,Finland,Measles,97.0,Europe
2014,Finland,Measles,96.0,Europe
2015,Finland,Measles,95.0,Europe
2016,Finland,Measles,94.0,Europe
2017,Finland,Measles,94.0,Europe
2018,Finland,Measles,96.0,Europe
2019,Finland,Measles,96.0,Europe
2020,Finland,Measles,96.0,Europe
2020,France,Measles,,Europe
2021,Greece,Measles,,Europe
2010,Hungary,Measles,99.9,Europe
2011,Hungary,Measles,99.9,Europe
2012,Hungary,Measles,99.8,Europe
2013,Hungary,Measles,99.9,Europe
2014,Hungary,Measles,99.8,Europe
2015,Hungary,Measles,99.9,Europe
2016,Hungary,Measles,99.8,Europe
2017,Hungary,Measles,99.9,Europe
2018,Hungary,Measles,99.9,Europe
2019,Hungary,Measles,99.9,Europe
2020,Hungary,Measles,99.8,Europe
2021,Hungary,Measles,99.8,Europe
2015,Iceland,Measles,93.0,Europe
2016,Iceland,Measles,92.0,Europe
2017,Iceland,Measles,92.0,Europe
2018,Iceland,Measles,93.0,Europe
2019,Iceland,Measles,92.6,Europe
2020,Iceland,Measles,92.9,Europe
2021,Italy,Measles,,Europe
2010,Japan,Measles,94.3,Asia-Pacific
2011,Japan,Measles,93.6,Asia-Pacific
2012,Japan,Measles,95.7,Asia-Pacific
2013,Japan,Measles,95.3,Asia-Pacific
2014,Japan,Measles,97.5,Asia-Pacific
2015,Japan,Measles,95.5,Asia-Pacific
2016,Japan,Measles,96.4,Asia-Pacific
2017,Japan,Measles,102.5,Asia-Pacific
2018,Japan,Measles,97.2,Asia-Pacific
2020,Korea,Measles,,Asia-Pacific
2010,Norway,Measles,93.0,Europe
2011,Norway,Measles,93.0,Europe
2012,Norway,Measles,94.0,Europe
2013,Norway,Measles,93.0,Europe
2014,Norway,Measles,94.0,Europe
2015,Norway,Measles,95.0,Europe
2016,Norway,Measles,96.0,Europe
2017,Norway,Measles,96.0,Europe
2018,Norway,Measles,96.0,Europe
2010,Sweden,Measles,97.0,Europe
2010,Switzerland,Measles,92.0,Europe
2010,United Kingdom,Measles,89.0,Europe
2011,United Kingdom,Measles,90.0,Europe
2012,United Kingdom,Measles,92.0,Europe
2013,United Kingdom,Measles,93.0,Europe
2014,United Kingdom,Measles,93.0,Europe
2015,United Kingdom,Measles,93.0,Europe
2016,United Kingdom,Measles,92.0,Europe
2017,United Kingdom,Measles,92.0,Europe
2018,United Kingdom,Measles,92.0,Europe
2021,Chile,Measles,,Latin America
2021,Israel,Measles,,Middle East
2010,Slovenia,Measles,95.0,Europe
2019,Slovenia,Measles,94.0,Europe
2020,Slovenia,Measles,94.0,Europe
2021,France,Measles,91.9,Europe
2010,Iceland,Measles,93.0,Europe
2011,Iceland,Measles,94.3,Europe
2012,Iceland,Measles,90.0,Europe
2013,Iceland,Measles,91.3,Europe
2014,Iceland,Measles,90.0,Europe
2021,Iceland,Measles,91.6,Europe
2011,Switzerland,Measles,93.0,Europe
2012,Switzerland,Measles,93.0,Europe
2013,Switzerland,Measles,93.0,Europe
2014,Switzerland,Measles,94.0,Europe
2015,Switzerland,Measles,94.1,Europe
2016,Switzerland,Measles,93.6,Europe
2021,Sweden,Measles,,Europe
2021,Brazil,Measles,,Latin America
2021,United States,Measles,,North America
2021,Slovenia,Measles,,Europe
2021,Portugal,Measles,,Europe
2021,Canada,Measles,,North America
2020,Latvia,Measles,98.9,Europe
2010,Lithuania,Measles,96.1,Europe
2011,Lithuania,Measles,93.7,Europe
2012,Lithuania,Measles,93.4,Europe
2013,Lithuania,Measles,93.3,Europe
2014,Lithuania,Measles,93.4,Europe
2015,Lithuania,Measles,94.2,Europe
2016,Lithuania,Measles,93.7,Europe
2017,Lithuania,Measles,93.5,Europe
2018,Lithuania,Measles,92.2,Europe
2019,Lithuania,Measles,92.7,Europe
2020,Lithuania,Measles,90.1,Europe
2021,Lithuania,Measles,88.4,Europe
2010,Costa Rica,Measles,85.0,Latin America
2011,Costa Rica,Measles,83.0,Latin America
2012,Costa Rica,Measles,91.5,Latin America
2013,Costa Rica,Measles,91.3,Latin America
2014,Costa Rica,Measles,95.4,Latin America
2015,Costa Rica,Measles,93.0,Latin America
2016,Costa Rica,Measles,93.1,Latin America
2017,Costa Rica,Measles,96.0,Latin America
2018,Costa Rica,Measles,94.0,Latin America
2019,Costa Rica,Measles,95.0,Latin America
2020,Costa Rica,Measles,94.9,Latin America
2010,Latvia,Measles,93.0,Europe
2011,Latvia,Measles,92.0,Europe
2012,Latvia,Measles,90.0,Europe
2013,Latvia,Measles,96.0,Europe
2014,Latvia,Measles,95.0,Europe
2015,Latvia,Measles,96.0,Europe
2016,Latvia,Measles,93.3,Europe
2017,Latvia,Measles,96.4,Europe
2018,Latvia,Measles,98.0,Europe
2019,Latvia,Measles,99.0,Europe
2010,Colombia,Measles,88.5,Latin America
2011,Colombia,Measles,87.6,Latin America
2012,Colombia,Measles,93.8,Latin America
2013,Colombia,Measles,92.3,Latin America
2014,Colombia,Measles,91.3,Latin America
2015,Colombia,Measles,94.0,Latin America
2016,Colombia,Measles,92.6,Latin America
2017,Colombia,Measles,93.0,Latin America
2021,Latvia,Measles,96.5,Europe
2018,Colombia,Measles,95.0,Latin America
2019,Colombia,Measles,95.0,Latin America
2020,Colombia,Measles,90.5,Latin America
2021,Colombia,Measles,86.4,Latin America
2021,Costa Rica,Measles,88.8,Latin America
